ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
GridObjectHeight	Высота строки	---	Высота строки Высота строки		D:\vt5\vt5\debug\comps\DataView.dll	ObjectRow:int=-1; Height:int=100		
CopyAllMeasCell	Копировать все ячейкиl	Измерения	Копировать все ячейки Копировать все ячейки		D:\vt5\vt5\debug\comps\DataView.dll			
CopySelectedMeasCell	Копировать выбранные ячейкиl	Измерения	Копировать выбранные ячейки Копировать выбранные ячейки		D:\vt5\vt5\debug\comps\DataView.dll			
AlignGridByImage	Выровнять сетку по изображению	Измерения	Выровнять сетку по изображению Выровнять сетку по изображению		D:\vt5\vt5\debug\comps\DataView.dll			
RemoveParam	Удалить столбец ручных измерений	Измерения	Удаление выбранных результатов ручных измерений из списка объектов Удалить столбец ручных измерений		D:\vt5\vt5\debug\comps\DataView.dll	ParamKey:int=-1		
CreateNewParam	Создать новый параметр измерений	Internal Actions	Создать новый параметр для ручных измерений Создать новый параметр измерений		D:\vt5\vt5\debug\comps\DataView.dll	ParamType:string; ParamName:string; Number:int=1		
ShowClassView	Показать классы	Вид	Показать классы Показать классы		D:\vt5\vt5\debug\comps\DataView.dll			
ShowMeasView	Таблица измерений	Вид	Показать результаты измерений Таблица измерений		D:\vt5\vt5\debug\comps\DataView.dll			
ZoomInTable	Увеличить на 10 %	Вид	Увеличить на 10 % Увеличить на 10%		D:\vt5\vt5\debug\comps\DataView.dll			
ZoomOutTable	Уменьшить на 10 %	Вид	Уменьшить на 10 % Уменьшить на 10 %		D:\vt5\vt5\debug\comps\DataView.dll			
RemoveMMObjects	Удалить все	Измерения	Удаление всех результатов ручных измерений из активного списка Удалить все		D:\vt5\vt5\debug\comps\DataView.dll	ObjList:string		
AlignGridByCell	Выравнивание по выделенной ячейке	Вид	Выравнивание размера всех ячеек таблицы по выделенной Выравнивание по выделенной ячейке		D:\vt5\vt5\debug\comps\DataView.dll	CellRow:int=-1; CellCol:int=-1		
AlignGridDefault	Выравнивание по умолчанию	Вид	Выравнивание размера всех ячеек таблицы по умолчанию Выравнивание по умолчанию		D:\vt5\vt5\debug\comps\DataView.dll			
GridMoveParam	Переместить колонку	---	Переместить колонку Переместить колонку		D:\vt5\vt5\debug\comps\DataView.dll	ParamKey:int=-1; ParamKeyAfter:int=100		
GridParamWidth	Ширина колонки	---	Ширина колонки Ширина колонки		D:\vt5\vt5\debug\comps\DataView.dll	ParamKey:int=-1; Width:int=100		
GridRenameParam	Переименовать параметр	---	Переименовать параметр Переименовать параметр		D:\vt5\vt5\debug\comps\DataView.dll	ParamKey:int=-1; Name:string=NewName		
EditMarker	Произвольный маркер	Измерения	Калибровочный маркер произвольной длины Произвольный маркер	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X:int=0; Y:int=0; Length:double=0; Precision:int=1		
EditArrow	Стрелка	Редактор	Нанести стрелку на изображение Стрелка	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
EditCircleArrow	Set Circle Arrow	Редактор	Set circle arrow to the image Circle arrow	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
EditLine	Прямая линия	Редактор	Левая кнопка мыши-цвет линии, правая-цвет фона. Shift-доп. возможности. Ctrl-Пипетка. Прямая линия	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
EditFreeLine	Произвольная линия	Редактор	Левая кнопка мыши-цвет линии, правая-цвет фона. Ctrl-Пипетка. Произвольная линия	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
EditSplainLine	Линия сплайном	Редактор	Левая кнопка-цвет линии, правая-цвет фона.Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Линия сплайном	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
EditCircle	Окружность	Редактор	Используйте для нанесения правую или левую кнопки мыши. Ctrl-Пипетка. Окружность	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X:int=0; Y:int=0; D:int=0		
EditRect	Прямоугольник	Редактор	Используйте для нанесения правую или левую кнопки мыши. Shift-доп. возможности. Ctrl-Пипетка. Прямоугольник	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
AutoBack	Auto Background	Internal Actions	Auto background Auto background		D:\vt5\vt5\debug\comps\Editor.dll			
PickColor	Пипетка	Редактор	Выбор цвета на изображении: правая или левая кнопки мыши Пипетка	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X:int=-1; Y:int=-1; SetBack:int=-1; SaveResult:int=1		
FloodFill	Заливка	Редактор	Заливка однородным цветом: правая или левая кнопки мыши Заливка	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	SetBack:int=-1		
Dodge	Осветление	Преобразования	Осветлить участки изображения Осветление	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
Burn	Затемнение	Преобразования	Затемнить участки изображения Затемнение	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
BinEditLine	Прямая линия на бинарном изображении	Редактор бинарного	Нанести прямую линию на бинарное изображение. Shift - дополнительные возможности. Прямая линия на бинарном изображении	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
BinEditFreeLine	Произвольная линия на бинарном изображении	Редактор бинарного	Нанести произвольную линию на бинарное изображение Произвольная линия на бинарном изображении	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
BinEditSplainLine	Линия сплайном на бинарном изображении	Редактор бинарного	Линия сплайном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия сплайном на бинарном изображении	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
EditPolyline	Ломаная линия	Редактор	Левая кнопка-цвет линии, правая-цвет фона.Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Ломаная линия	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
BinEditPolyline	Линия полигоном на бинарном изображении	Редактор бинарного	Линия полигоном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия полигоном на бинарном изображении	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll			
Comment	Комментарий	Редактор	Рисовать:левая кнопка мыши, Ctrl+Enter:переход строки, Enter: завершить Комментарий	 (interactive)	D:\vt5\vt5\debug\comps\Editor.dll	X:int=-1; Y:int=-1; xArrow:int=-1; yArrow:int=-1; nCommentID:int=-1; Text:string		
Even	Выравнивание фона	Internal Actions	Выравнивание фона Выравнивание фона	 (filter)	D:\vt5\vt5\debug\comps\Even.dll	MaskSize:int=16; Contrast:bool=0; EvenColor:bool=0; Restriction:bool=0; Source:Image	Even:Image	
GrayThresholding	Полутоновая бинаризация	Фильтры	Полутоновая бинаризация Полутоновая бинаризация	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Low:int=96; High:int=192; Image:Image; PaneNum:int=-1	ObjectList:Object List	
AddRemoveColor	Добавить/удалить цвет	Internal Actions	Добавить/удалить цвет Добавить/удалить цвет	 (interactive)	D:\vt5\vt5\debug\comps\FiltersMain.dll	X:int=-1; Y:int=-1		
AddRemoveColorInterval	Добавить/удалить цветовой интервал	Internal Actions	Добавить или удалить цветовой интервал Добавить/удалить цветовой интервал	 (interactive)	D:\vt5\vt5\debug\comps\FiltersMain.dll			
ExtractPhase	Выделить фазу	Internal Actions	Выделить фазу Выделить фазу	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Class:int=-1; Image:Image	ObjectList:Object List	
GrayThresholdingBin	Бинаризация полутонового	Фильтры	Бинаризация полутонового Бинаризация полутонового	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Low:int=96; High:int=192; Image:Image; PaneNum:int=-1	ThresholdingGray:Binary	
MeasurePhasesLight	Измерить фазы на бинарном	Фильтры	Измерить фазы на бинарном Измерить фазы на бинарном	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=1; ClassifierName:string	MeasureBin:Object List	
MeasurePhases	Измерить фазы на бинарном	Фильтры	Измерить фазы на бинарном Измерить фазы на бинарном	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=0; ClassifierName:string	MeasureBin:Object List	
MeasureBin	Измерить бинарное	Фильтры	Измерить бинарное Измерить бинарное	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	BaseImage:Image; BinImage:Binary; Calc:int=1; Phase:int=-1; CopyPhases:int=0	MeasureBin:Object List	
Erode	Эрозия	Internal Actions	Применить фильтр Эрозия к активному изображению Эрозия	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Erode:Image	
Dilate	Дилатация	Internal Actions	Применить фильтр Дилатация к активному изображению Дилатация	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Dilate:Image	
Open	Открытие	Фильтры	Применить фильтр Открытие к активному изображению Открытие	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Open:Image	
Close	Закрытие	FInternal Actions	Применить фильтр Закрытие к активному изображению Закрытие	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Close:Image	
Boundary	Границы	Internal Actions	Применить фильтр Усиление Границ к текущему изображению Границы	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Power:int=3; Source:Image	Boundary:Image	
BinaryExtractPhases	Выделить бинарные фазы	Internal Actions	Выделить бинарные фазы Выделить бинарные фазы	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Source:Image	Phase:Binary	
Negative	Негатив	Преобразования	Преобразовать активное изображение в негатив Негатив	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Source:Image	Negative:Image	
Emboss	Рельеф	Internal Actions	Создать рельефное изображение Рельеф	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Source:Image	Emboss:Image	
BrightContrast	Яркость&Контраст	Internal Actions	Изменить яркость и контраст активного изображения Яркость&Контраст	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Brightness:int=0; Contrast:int=0; Gamma:double=0; Source:Image	BriContrast:Image	
Sharping	Резкость	Фильтры	Применить фильтр Резкость к активному изображению Резкость	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Strength:int=0; Source:Image	Sharping:Image	
Median	Сглаживание по медиане	Фильтры	Применить сглаживание по медиане к активному изображению Сглаживание по медиане	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Median:Image	
Average	Сглаживание с усреднением	Internal Actions	Применить сглаживание с усреднением к активному изображению Сглаживание с усреднением	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Average:Image	
Laplas	Лаплас	Фильтры	Применить фильтрацию методом Лапласа к активному изображению Лаплас	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Add:int=0; Source:Image	Laplas:Image	
Equalize	Выравнивание	Internal Actions	Выровнять активное изображение Выравнивание	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	FullByFrame:int=0; Source:Image	Equalize:Image	
LocalEqualize	Локальное выравнивание	Фильтры	Выровнять активное изображение с использованием локального фильтра Локальное выравнивание	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Source:Image	Equalize:Image	
Kirsch	Кирш	Фильтры	Применить фильтрацию по методу Кирша к активному изображению Кирш	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Level:int=1; Add:int=0; Source:Image	Kirsch:Image	
ExtractPhases	Выделить фазы	Internal Actions	Выделить фазы Выделить фазы	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Source:Image	Phases:Image	
UnsharpenMask	Усиление резкости	Фильтры	Усиление общей резкости изображения Усиление резкости	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Threshold:int=0; Strength:int=100; Source:Image	UnsharpenMask:Image	
EqualHists	Выравнивание гистограмм	Преобразования	Выравнивание гистограммы двух изображений Выравнивание гистограмм	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Image0:Image; Image1:Image	EqualHists:Image	
EqualContrasts	Выравнивание контраста	Преобразования	Выравнивание контраста двух изображений Выравнивание контраста	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Image0:Image; Image1:Image	Result Equal:Image	
FastAverage	Быстрое сглаживание с усреднением	Internal Actions	Применить быстрое сглаживание с усреднением к изображению Быстрое сглаживание с усреднением	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; SourceImage:Image	Average:Image	
FastUnsharpenMask	Быстрое усиление резкости	Фильтры	Применить быстрое усиления резкости к активному изображению Быстрое усиление резкости	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Threshold:int=0; Strength:int=100; Source:Image	UnsharpenMask:Image	
FastGradient	Быстрый градиент	Фильтры	Применить фильтр Быстрый градиент к активному изображению Быстрый градиент	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	MaskSize:int=5; Power:int=3; Base:int=32000; SourceImage:Image	Gradient:Image	
CreateBinaryBySelection	Создать бинарное по рамке	Binary	Создать бинарное по рамке Создать бинарное по рамке	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Selection:Image; Source:Image	BinImage:Binary	
CreateSelectionByBinary	Создать рамку по бинарному	Binary	Создать рамку по бинарному Создать рамку по бинарному	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Source:Image; BinImage:Binary	Selection:Image	
UltimateErosion	UltimateErosion	Binary	UltimateErosion UltimateErosion	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Method:int=3; Algorythm:int=1; BinImage:Binary	BinResult:Binary	
MorphDivideExBin	Расширенное морфологическое разделение по бинарному изображению	Binary	Расширенное морфологическое разделение по бинарному изображению Расширенное морфологическое разделение по бинарному изображению	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Method:int=3; Algorythm:int=1; BinImage:Binary	BinResult:Binary	
FillHolesBin	Заполнение дыр в бинарном изображении	Binary	Заполнение дыр в бинарном изображении Заполнение дыр в бинарном изображении	 (filter)	D:\vt5\vt5\debug\comps\FiltersMain.dll	Size:int=0; BinImage:Binary	BinResult:Binary	
Cipher	Cipher	Image	Cipher Image Cipher Image	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	NX:int=10; NY:int=10; Cipher:int=13; Image:Image	Ciphered:Image	
ShowCalibr	Показать маркер	View	Показать калибровочный маркер на изображении Показать маркер		D:\vt5\vt5\debug\comps\ImageDoc.dll	Show:int=-1; SetToShellData:int=0		
ShowImage	Изображение с контурами	Вид	Показать изображение с контурами объектов Изображение с контурами		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ImageTransform	Масштабирование и поворот изображения	Правка	Масштабирование и поворот изображения Масштабирование и поворот изображения		D:\vt5\vt5\debug\comps\ImageDoc.dll	ZoomX:double=1; ZoomY:double=1; Angle:double=0; PosX:int=0; PosY:int=0		
ShowObjects	Объекты на фоне	Вид	Показать изображение с обектами на фоне Объекты на фоне		D:\vt5\vt5\debug\comps\ImageDoc.dll			
ShowMasks	Маски объектов	Вид	Показать изображение с масками объектов Маски объектов		D:\vt5\vt5\debug\comps\ImageDoc.dll			
Resize	Изменить размер	Правка	Изменить размера изображения Изменить размер	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Width:int=-1; Height:int=-1; Source:Image	Resized:Image	
Rotate	Произвольный поворот...	Изображение	Произвольный поворот изображения Произвольный поворот	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Angle:int=0; Source:Image	Rotated:Image	
MirrorHorz	Горизонтальное отражение	Изображение	Горизонтальное отражение изображения Горизонтальное отражение	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:Image	FlipedHorz:Image	
MirrorVert	Вертикальное отражение	Изображение	Вертикальное отражение изображения Вертикальное отражение	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:Image	FlipedVert:Image	
Rotate90	Повернуть на 90	Изображение	Поворот изображения на 90 градусов Повернуть на 90	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:Image	Rotated90:Image	
Rotate180	Повернуть на 180	Изображение	Поворот изображения на 180 градусов Повернуть на 180	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:Image	Rotated180:Image	
Rotate270	Повернуть на 270	Изображение	Поворот изображения на 270 градусов Повернуть на 270	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:Image	Rotated270:Image	
Expansion	Выделить цветовые каналы	Изображение	Выделить отдельные цветовые каналы цветного изображения Выделить цветовые каналы		D:\vt5\vt5\debug\comps\ImageDoc.dll			
Merge	Объединить цветовые каналы	Правка	Объединить цветовые каналы изображения Объединить цветовые каналы	 (filter)	D:\vt5\vt5\debug\comps\ImageDoc.dll	ColorSpace:string=RGB; Pane0Image:Image; Pane1Image:Image; Pane2Image:Image	Combined:Image	
Clone	Дубликат изображения	Изображение	Создать дубликат изображения Дубликат изображения		D:\vt5\vt5\debug\comps\ImageDoc.dll	Source:string		
